,비고,수업시간표,대학,교수이름,시간표,이수구분,온/오프
124,[전환(동영상)],월3,일송자유교양대학,강지희,전통문화와한문학,일반교양,[전환(동영상)]
125,[전환(화상)],화C 목C,일송자유교양대학,김판수,현대사회의이해,일반교양,[전환(화상)]
126,[전환(화상)],화D 목D,일송자유교양대학,김여진,현대사회와사회복지,일반교양,[전환(화상)]
127,[전환(동영상)],월3,일송자유교양대학,최지혜,뉴미디어와미래사회,일반교양,[전환(동영상)]
128,[전환(동영상)],월5,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
129,[전환(동영상)],월1,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
130,[전환(동영상)],월5,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
131,[전환(동영상)],월1,일송자유교양대학,최성욱,인권과법,일반교양,[전환(동영상)]
132,[전환(동영상)],목7,일송자유교양대학,방기석,기업가정신과창업,일반교양,[전환(동영상)]
133,[전환(동영상)],화A 목A,일송자유교양대학,노혁진,교양고고학,일반교양,[전환(동영상)]
134,[전환(화상)],월5,일송자유교양대학,윤주한,미학의이해,일반교양,[전환(화상)]
135,[전환(화상)],화C 목C,일송자유교양대학,오현열,일본과동아시아,일반교양,[전환(화상)]
136,[전환(동영상)],월5,일송자유교양대학,강지희,한시의이해와감상,일반교양,[전환(동영상)]
137,[전환(화상)],화E 목E,일송자유교양대학,심보경,고전속인물탐구,일반교양,[전환(화상)]
138,[전환(동영상)],금1,일송자유교양대학,김태영,스페인어,기초,[전환(동영상)]
139,[전환(동영상)],금5,일송자유교양대학,김태영,스페인어,기초,[전환(동영상)]
140,[전환(화상)],화B 목B,일송자유교양대학,정지혜,중국어2,기초,[전환(화상)]
141,[전환(화상)]본과생 수강불가.,화A 목A,일송자유교양대학,정지혜,중국어1,기초,[전환(화상)]
142,[전환(동영상)]본과생 수강불가.,월5,일송자유교양대학,주준영,중국어1,기초,[전환(동영상)]
143,[전환(동영상)]본과생 수강불가.,월3,일송자유교양대학,손예나,중국어1,기초,[전환(동영상)]
144,[전환(동영상)]본과생 수강불가.,월7,일송자유교양대학,손예나,중국어1,기초,[전환(동영상)]
145,[전환(동영상)]본과생 수강불가,화B 목B,일송자유교양대학,노선아,중국어1,기초,[전환(동영상)]
146,[전환(동영상)]본과생 수강불가.,화C 목C,일송자유교양대학,이설연,중국어1,기초,[전환(동영상)]
147,[전환(동영상)]본과생 수강불가.,화D 목D,일송자유교양대학,이설연,중국어1,기초,[전환(동영상)]
148,[전환(동영상)]본과생 수강불가.,화D 목D,일송자유교양대학,김창호,중국어1,기초,[전환(동영상)]
149,[전환(동영상)]본과생 수강불가.,화E 목E,일송자유교양대학,김창호,중국어1,기초,[전환(동영상)]
150,[동영상 콘텐츠],온라인7,일송자유교양대학,이은우,불어,기초,[동영상 콘텐츠]
151,[전환(동영상)],금7,일송자유교양대학,이은우,불어,기초,[전환(동영상)]
152,[동영상 콘텐츠],온라인7,일송자유교양대학,이은우,불어,기초,[동영상 콘텐츠]
153,[전환(동영상)],금7,일송자유교양대학,이은우,불어,기초,[전환(동영상)]
154,[전환(동영상)],월1,일송자유교양대학,남일우,독어,기초,[전환(동영상)]
155,[전환(동영상)],월5,일송자유교양대학,남일우,독어,기초,[전환(동영상)]
156,[전환(동영상)],월5,일송자유교양대학,김기성,현대몽골어,기초,[전환(동영상)]
157,[전환(동영상)],수6 금5,일송자유교양대학,이내주,서양문화사,일반교양,[전환(동영상)]
158,[전환(동영상)],화E 목E,일송자유교양대학,이윤정,한국사의이해,일반교양,[전환(동영상)]
159,[전환(화상)],화F 목F,일송자유교양대학,최봉준,한국사의이해,일반교양,[전환(화상)]
160,[전환(동영상)],월7,일송자유교양대학,강지희,집중한문,일반교양,[전환(동영상)]
161,[블렌디드]지정학과 1학년 외,화A 목A,일송자유교양대학,박승용,창의코딩웹,기초,[블렌디드]
162,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,신미영,창의코딩웹,기초,[동영상 콘텐츠]
163,[플립러닝]지정학과 1학년 외,화B 목B,일송자유교양대학,신미영,창의코딩웹,기초,[플립러닝]
164,[플립러닝]지정학과 1학년 외,화E 목E,일송자유교양대학,신미영,창의코딩웹,기초,[플립러닝]
165,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김유정,창의코딩웹,기초,[동영상 콘텐츠]
166,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김유정,창의코딩웹,기초,[동영상 콘텐츠]
167,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,김유정,창의코딩웹,기초,[동영상 콘텐츠]
168,[플립러닝]지정학과 1학년 외,화A 목A,일송자유교양대학,김은주,창의코딩웹,기초,[플립러닝]
169,[플립러닝]지정학과 1학년 외,화B 목B,일송자유교양대학,김은주,창의코딩웹,기초,[플립러닝]
170,[플립러닝]지정학과 1학년 외,화E 목E,일송자유교양대학,김은주,창의코딩웹,기초,[플립러닝]
171,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,이득주,창의코딩웹,기초,[동영상 콘텐츠]
172,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,노재옥,창의코딩파이썬,기초,[동영상 콘텐츠]
173,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,방기석,창의코딩파이썬,기초,[동영상 콘텐츠]
174,[동영상 콘텐츠]지정학과 1학년 외,온라인7,일송자유교양대학,방기석,창의코딩파이썬,기초,[동영상 콘텐츠]
175,[전환(동영상)],화E 목E,일송자유교양대학,김인규,경제학개론,일반교양,[전환(동영상)]
176,[전환(화상)],월5,일송자유교양대학,노석재,경제학개론,일반교양,[전환(화상)]
177,[전환(화상)],월1,일송자유교양대학,나정대,사회학개론,일반교양,[전환(화상)]
178,[전환(동영상)],화A,일송자유교양대학,최우령,사회속의법의이해,일반교양,[전환(동영상)]
179,[전환(동영상)],월7,일송자유교양대학,김상훈,사회속의법의이해,일반교양,[전환(동영상)]
180,[전환(화상)],화D 목D,일송자유교양대학,김남이,현대사회와여성,일반교양,[전환(화상)]
181,폐강 예정 과목,화B 목B,일송자유교양대학,김남이,현대사회와여성,일반교양,[오프라인]
182,[전환(화상)],화D 목D,일송자유교양대학,김남이,현대사회와여성,일반교양,[전환(화상)]
183,폐강 예정 과목,화B 목B,일송자유교양대학,김남이,현대사회와여성,일반교양,[오프라인]
184,[전환(동영상)],화5,일송자유교양대학,김지일,교육학의이해,일반교양,[전환(동영상)]
185,[전환(화상)],수2 금1,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
186,[전환(화상)],화D 목D,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
187,[전환(화상)],수2 금1,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
188,[전환(화상)],화D 목D,경영학과,황정태,벤처기업론(종합설계),전선,[전환(화상)]
189,[전환(동영상)],금6,일송자유교양대학,이재웅,심리학의이해,일반교양,[전환(동영상)]
190,[전환(동영상)],화B 목B,일송자유교양대학,노상선,심리학의이해,일반교양,[전환(동영상)]
191,1학년 수강 불가,수2,일송자유교양대학,김유정,디지털리터러시1,기초,[오프라인]
192,1학년 수강 불가,화A 목A,일송자유교양대학,이덕영,디지털리터러시1,기초,[오프라인]
193,1학년 수강 불가,화A 목A,일송자유교양대학,정연진,디지털리터러시1,기초,[오프라인]
194,1학년 수강 불가,화B 목B,일송자유교양대학,정연진,디지털리터러시1,기초,[오프라인]
195,1학년 수강 불가,화D 목D,일송자유교양대학,박승용,디지털리터러시1,기초,[오프라인]
196,1학년 수강 불가,화D 목D,일송자유교양대학,김병관,디지털리터러시1,기초,[오프라인]
197,1학년 수강 불가,월6,일송자유교양대학,김유정,디지털리터러시2,기초,[오프라인]
198,1학년 수강 불가,화2,일송자유교양대학,김유정,디지털리터러시2,기초,[오프라인]
199,1학년 수강 불가,화B 목B,일송자유교양대학,이덕영,디지털리터러시2,기초,[오프라인]
200,[전환(동영상)]1학년 수강 불가,화A 목A,일송자유교양대학,이성룡,디지털리터러시2,기초,[전환(동영상)]
201,1학년 수강 불가,화B 목B,일송자유교양대학,이성룡,디지털리터러시2,기초,[오프라인]
202,[전환(동영상)]1학년 수강 불가,화E 목E,일송자유교양대학,이성룡,디지털리터러시2,기초,[전환(동영상)]
203,[전환(동영상)],월1,일송자유교양대학,장윤정,외국문화와국제매너,일반교양,[전환(동영상)]
204,[전환(동영상)],월3,일송자유교양대학,장윤정,외국문화와국제매너,일반교양,[전환(동영상)]
205,[동영상 콘텐츠]미디어스쿨및언론방송,월3,일송자유교양대학,강명현,현대방송의이해,일반교양,[동영상 콘텐츠]
206,[전환(동영상)]의대/간호대 제외한 1,월3,일송자유교양대학,이정근,진로설계,일반교양,[전환(동영상)]
207,[전환(동영상)]의대/간호대 제외 3,수5,일송자유교양대학,이정근,취업설계,일반교양,[전환(동영상)]
208,[전환(화상)],화B 목B,일송자유교양대학,최영재,행복학개론,일반교양,[전환(화상)]
209,[전환(화상)],화C 목C,일송자유교양대학,고태규,여행과문명,일반교양,[전환(화상)]
210,[전환(동영상)],월3,일송자유교양대학,이지혜,인생의사계절,일반교양,[전환(동영상)]
211,[전환(동영상)],수5,일송자유교양대학,김지일,융복합적문제해결의프랙시스,일반교양,[전환(동영상)]
212,[전환(화상)],화B 목B,일송자유교양대학,이충언,한국경제의현재와미래,일반교양,[전환(화상)]
213,[전환(동영상)]외국인 대상 과목,화B 목B,일송자유교양대학,이한범,고급한국어,기초,[전환(동영상)]
214,[전환(화상)]외국인 대상 과목,수6 금5,일송자유교양대학,김정숙,고급한국어,기초,[전환(화상)]
215,,화7,일송자유교양대학,정나래,스포츠-로하스활동,한림소양,[오프라인]
216,,월5,일송자유교양대학,RAY ALLEN BRUCE,Honors English 2,기초,[오프라인]
217,[블렌디드],화B 목B,일송자유교양대학,이지연,Essential Skills for University Life 2,기초,[블렌디드]
218,[블렌디드],화D 목D,일송자유교양대학,이지연,Issues in Modern Society,기초,[블렌디드]
219,[전환(동영상)],월5,일송자유교양대학,김인규,생활과영화속의경제학,일반교양,[전환(동영상)]
220,[전환(혼합)],수9,일송자유교양대학,NIMSE SATISH BALASAHEB,일반화학및실험2,기초,[전환(혼합)]
221,[전환(혼합)],수9,일송자유교양대학,NIMSE SATISH BALASAHEB,일반화학및실험2,기초,[전환(혼합)]
222,[전환(혼합)],수9,일송자유교양대학,NIMSE SATISH BALASAHEB,일반화학및실험2,기초,[전환(혼합)]
223,[전환(혼합)],화4,일송자유교양대학,이우람,일반화학및실험2,기초,[전환(혼합)]
224,[전환(혼합)],화6,일송자유교양대학,이우람,일반화학및실험2,기초,[전환(혼합)]
225,[전환(혼합)],수5,일송자유교양대학,이우람,일반화학및실험2,기초,[전환(혼합)]
226,[전환(혼합)],월7,일송자유교양대학,전성호,일반생물학및실험2,기초,[전환(혼합)]
227,[전환(혼합)],월7,일송자유교양대학,전성호,일반생물학및실험2,기초,[전환(혼합)]
228,[동영상 콘텐츠],수3,일송자유교양대학,박경란,지구촌환경재난,일반교양,[동영상 콘텐츠]
229,[동영상 콘텐츠],월1,일송자유교양대학,손정인,생활속의화학,일반교양,[동영상 콘텐츠]
230,[전환(동영상)],수4 금3,일송자유교양대학,이기원,생활속의통계학,일반교양,[전환(동영상)]
231,[전환(동영상)],수4 금3,일송자유교양대학,양정수,현대생활과운동,일반교양,[전환(동영상)]
232,[전환(동영상)],화D 목D,일송자유교양대학,김상옥,즐거운수학적사고,일반교양,[전환(동영상)]
233,,월1,생명과학과,ONG HOMERVERGEL,바이오잉글리쉬랩,전선,[오프라인]
234,,월5,생명과학과,ONG HOMERVERGEL,바이오잉글리쉬랩,전선,[오프라인]
235,[전환(혼합)],월10,바이오메디컬학과,박종국,기초생명과학및실험II,전선,[전환(혼합)]
236,[전환(혼합)],수10,바이오메디컬학과,박종국,기초생명과학및실험II,전선,[전환(혼합)]
237,[전환(동영상)],화F 목F,일송자유교양대학,한상진,인체생로병사,일반교양,[전환(동영상)]
238,[전환(동영상)],월3,일송자유교양대학,이재진,수학과사회,일반교양,[전환(동영상)]
239,[전환(동영상)],온라인0,일송자유교양대학,한규형,[첨단기초]생활속의바이오테크,일반교양,[전환(동영상)]
240,[전환(동영상)],온라인0,자유교양전공,한규형,[첨단기초]생활속의바이오테크,일반교양,[전환(동영상)]
241,[전환(동영상)],화B 목B,일송자유교양대학,남기학,일본문화사,일반교양,[전환(동영상)]
242,[전환(동영상)],화E 목E,일송자유교양대학,박병훈,음악의이해,일반교양,[전환(동영상)]
243,[전환(동영상)],화F 목F,일송자유교양대학,박병훈,음악의이해,일반교양,[전환(동영상)]
244,[전환(동영상)],금2,일송자유교양대학,김대원,연극의이해,일반교양,[전환(동영상)]
245,[전환(동영상)],금5,일송자유교양대학,김대원,연극의이해,일반교양,[전환(동영상)]
246,[전환(동영상)],월7,일송자유교양대학,황선훈,국제사회와법,일반교양,[전환(동영상)]
247,[전환(동영상)],화C 목C,일송자유교양대학,김지현,서양미술의이해,일반교양,[전환(동영상)]
248,[전환(동영상)],화D 목D,일송자유교양대학,김지현,서양미술의이해,일반교양,[전환(동영상)]
249,[전환(동영상)],월5,일송자유교양대학,노성호,한국문화의형성과 발전,일반교양,[전환(동영상)]
250,[실시간 화상강의],월6 수5,일송자유교양대학,김설,기초영문법,기초,[실시간 화상강의]
251,HID 입사생만 수강 가능함,화7,일송자유교양대학,PETERSON JOSHUA,생활영어4,일반교양,[오프라인]
252,HID 입사생만 수강 가능함,월7,일송자유교양대학,FREY BRITT FRANKLIN,생활영어4,일반교양,[오프라인]
253,HID 입사생만 수강 가능함,수6,일송자유교양대학,BAEK THOMAS SEUNGWUN,생활영어4,일반교양,[오프라인]
254,HID 입사생만 수강 가능,수7,일송자유교양대학,황경자,생활일본어 4,일반교양,[오프라인]
255,[전환(동영상)],화C 목C,일송자유교양대학,원석범,러시아어,기초,[전환(동영상)]
256,[전환(동영상)],화E 목E,일송자유교양대학,원석범,러시아어,기초,[전환(동영상)]
257,,월5,일송자유교양대학,이상덕,스포츠-터,한림소양,[오프라인]
258,[전환(화상)],월9,사회복지학부,고정애,오디세이세미나3,공통전필,[전환(화상)]
259,[전환(화상)],목10,사학전공,최재영,오디세이세미나3,전선,[전환(화상)]
260,[전환(동영상)],수9,법학과,홍일선,오디세이세미나3,전필,[전환(동영상)]
261,,,의학과,이진원,오디세이세미나3,전필,[오프라인]
262,[전환(혼합)],금10,소프트웨어융합대학,송성호,오디세이세미나3,공통전필,[전환(혼합)]
263,[전환(화상)]3학년 이상 참여 수업,화9,미디어스쿨,노기영,오디세이세미나3,공통전필,[전환(화상)]
264,,,의학과,이재갑,오디세이세미나3,전필,[오프라인]
265,,,의학과,김성은,오디세이세미나3,전필,[오프라인]
266,,,의학과,김지희,오디세이세미나3,전필,[오프라인]
267,[전환(동영상)],수8,사회학과,엄한진,오디세이세미나3,전필,[전환(동영상)]
268,[전환(화상)],금9,언어청각학부,배소영,오디세이세미나3,공통전필,[전환(화상)]
269,,,의학과,김종완,오디세이세미나3,전필,[오프라인]
270,[전환(동영상)],월8,체육학과,유신환,오디세이세미나3,전필,[전환(동영상)]
271,[전환(화상)],금9,생명과학과,전성호,오디세이세미나3,전필,[전환(화상)]
272,[전환(화상)],월9,국어국문학전공,신서인,오디세이세미나3,전선,[전환(화상)]
273,[전환(혼합)],월9,정치행정학과,김재한,오디세이세미나3,전필,[전환(혼합)]
274,[전환(화상)],수9,사회복지학부,최유석,오디세이세미나3,공통전필,[전환(화상)]
275,[전환(혼합)],금10,소프트웨어융합대학,김선정,오디세이세미나3,공통전필,[전환(혼합)]
276,[전환(화상)],수9,언어청각학부,장현숙,오디세이세미나3,공통전필,[전환(화상)]
277,[전환(화상)],금9,화학과,이우람,오디세이세미나3,전필,[전환(화상)]
278,[전환(동영상)]금융재무학과 3,수9,금융재무학과,김태규,오디세이세미나3,전필,[전환(동영상)]
279,[전환(동영상)],수9,바이오메디컬학과,한규형,오디세이세미나3,전필,[전환(동영상)]
280,[전환(화상)],화3,환경생명공학과,박진용,오디세이세미나3,전필,[전환(화상)]
281,,금10,식품영양학과,강일준,오디세이세미나3,전필,[오프라인]
282,[전환(화상)],수9,경제학과,한영욱,오디세이세미나3,전필,[전환(화상)]
283,,수9,의과학융합전공,이종석,오디세이세미나3,전필,[오프라인]
284,[전환(혼합)],월9,광고홍보학과,최정화,오디세이세미나3,전필,[전환(혼합)]
285,[실시간 화상강의],금9,인문학부,이찬,오디세이세미나3,공통전선,[실시간 화상강의]
286,[전환(화상)]일본학과 졸업필수 교과목,금9,일본학과,남기학,오디세이세미나3,전필,[전환(화상)]
287,[실시간 화상강의]경영학과 3,수9,경영학과,이견직,오디세이세미나3,전필,[실시간 화상강의]
288,,금10,소프트웨어융합대학,이선우,오디세이세미나3,공통전필,[오프라인]
289,체육학과 대상 분반,수9,일송자유교양대학,홍재승,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
290,[전환(화상)]생명과학과 대상 분반,수9,일송자유교양대학,전성호,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
291,[전환(혼합)]미디어스쿨 (2학년 학생 수강 우선 대상),수9,일송자유교양대학,정연구,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(혼합)]
292,환경생명공학과 대상 분반,수9,일송자유교양대학,김승도,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
293,심리학과 대상 분반,수9,일송자유교양대학,강연욱,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
294,[전환(화상)]영어영문학과 대상 분반,수9,일송자유교양대학,김용수,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
295,[전환(화상)]화학과 대상 분반,수9,일송자유교양대학,이정태,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
296,[전환(화상)]글로벌비즈니스전공 및 정보법과학전공 2학년 대상,수9,일송자유교양대학,안정민,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
297,[전환(화상)]국어국문학전공 대상 분반,수9,일송자유교양대학,이병기,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
298,식품영양학과 대상 분반,수9,일송자유교양대학,심재훈,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
299,[전환(동영상)]법학과 대상 분반,수9,일송자유교양대학,김경태,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(동영상)]
300,[전환(화상)]한중통번역전공 및 문화산업전공생 대상,화8,일송자유교양대학,김익태,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
301,바이오메디컬학과 대상 분반,수8,일송자유교양대학,박종국,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
302,[전환(화상)]일본학과 대상 분반,수9,일송자유교양대학,KOSHIRO AKIKO,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
303,정치행정학과 대상분반,수9,일송자유교양대학,김재한,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
304,[전환(화상)]청각학전공 대상 분반,수9,일송자유교양대학,임덕환,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
305,[전환(화상)]사회학과 대상 분반,수9,일송자유교양대학,박준식,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
306,[전환(동영상)]데이터과학융합스쿨 대상 분반,수9,일송자유교양대학,심송용,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(동영상)]
307,사회복지학부 대상 분반,수9,일송자유교양대학,서인해,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
308,[전환(화상)]사학 전공 대상 분반,수9,일송자유교양대학,박은재,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
309,[전환(화상)]언어병리학전공 대상 분반,수9,일송자유교양대학,윤지혜,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
310,[전환(화상)]융합인재학부 대상,수9,일송자유교양대학,조창익,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
311,사회복지학부 대상분반,수9,일송자유교양대학,김여진,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
312,나노융합스쿨 대상 분반,수9,일송자유교양대학,남기봉,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
313,[전환(화상)]광고홍보학과 대상 분반,수9,일송자유교양대학,윤태일,오디세이세미나2(리더십과 기업가정신),한림소양,[전환(화상)]
314,미래융합스쿨 대상 분반,수9,일송자유교양대학,박민,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
315,철학 전공 대상 분반,수9,일송자유교양대학,주동률,오디세이세미나2(리더십과 기업가정신),한림소양,[오프라인]
316,[전환(화상)],수9,데이터과학융합스쿨,손대순,오디세이세미나4,전선,[전환(화상)]
317,[전환(화상)],화5,환경생명공학과,김정원,오디세이세미나4,전선,[전환(화상)]
318,[전환(화상)],월9,사회학과,신경아,오디세이세미나4,전선,[전환(화상)]
319,[전환(화상)],화9,국어국문학전공,박슬기,오디세이세미나4,전선,[전환(화상)]
320,,화7,일송자유교양대학,정한영,스포츠-축구,한림소양,[오프라인]
321,,수5,일송자유교양대학,정한영,스포츠-축구,한림소양,[오프라인]
322,,월7,일송자유교양대학,이상덕,스포츠-축구,한림소양,[오프라인]
323,,목7,일송자유교양대학,임종국,스포츠-농구,한림소양,[오프라인]
324,,,일송자유교양대학,임종국,스포츠-스키캠프,한림소양,[오프라인]
325,,,일송자유교양대학,이상덕,스포츠-스키캠프,한림소양,[오프라인]
326,,화5,일송자유교양대학,박혜민,스포츠-수영,한림소양,[오프라인]
327,,목5,일송자유교양대학,박혜민,스포츠-수영,한림소양,[오프라인]
328,,금7,일송자유교양대학,임종국,스포츠-테니스,한림소양,[오프라인]
329,,금3,일송자유교양대학,김성배,스포츠-테니스,한림소양,[오프라인]
330,,금5,일송자유교양대학,정한영,스포츠-테니스,한림소양,[오프라인]
331,,수3,일송자유교양대학,이상덕,스포츠-테니스,한림소양,[오프라인]
332,,금7,일송자유교양대학,이상덕,스포츠-배드민턴,한림소양,[오프라인]
333,,금3,일송자유교양대학,정한영,스포츠-배드민턴,한림소양,[오프라인]
334,,목3,일송자유교양대학,임종국,스포츠-배드민턴,한림소양,[오프라인]
335,,목5,일송자유교양대학,정나래,스포츠-배드민턴,한림소양,[오프라인]
336,,수7,일송자유교양대학,이상덕,스포츠-골프,한림소양,[오프라인]
337,,금1,일송자유교양대학,이충일,스포츠-골프,한림소양,[오프라인]
338,,화5,일송자유교양대학,김성배,스포츠-골프,한림소양,[오프라인]
339,,화7,일송자유교양대학,김성배,스포츠-골프,한림소양,[오프라인]
340,,목5,일송자유교양대학,김성배,스포츠-골프,한림소양,[오프라인]
341,,목7,일송자유교양대학,김성배,스포츠-골프,한림소양,[오프라인]
342,,화1,일송자유교양대학,이상덕,스포츠-스쿼시,한림소양,[오프라인]
343,,목1,일송자유교양대학,이상덕,스포츠-스쿼시,한림소양,[오프라인]
344,의예과 대상 과목,화5,일송자유교양대학,양은석,Team Sports II,한림소양,[오프라인]
345,의예과 대상 과목,목5,일송자유교양대학,양은석,Team Sports II,한림소양,[오프라인]
346,의예과 대상 과목,,일송자유교양대학,곽창수,Team Sports IV,한림소양,[오프라인]
347,의예과 대상 과목,,일송자유교양대학,홍재승,Team Sports IV,한림소양,[오프라인]
348,[전환(화상)]외국인 대상 과목,월3,일송자유교양대학,유승금,(외국인)읽기와쓰기2,기초,[전환(화상)]
349,[전환(동영상)]외국인 대상 과목,화B 목B,일송자유교양대학,안정화,(외국인)읽기와쓰기1,기초,[전환(동영상)]
350,[전환(화상)]외국인 대상 과목,수4 금3,일송자유교양대학,유승금,한국현대사회의이해,일반교양,[전환(화상)]
351,[전환(동영상)],수4 온라인8,일송자유교양대학,최태강,동북아의영토분쟁,일반교양,[전환(동영상)]
352,[전환(동영상)],월3,일송자유교양대학,이경구,테마로보는한국인물사,일반교양,[전환(동영상)]
353,외국인 대상 과목,화A 목A,일송자유교양대학,유승금,대학한국어1,기초,[오프라인]
354,[전환(화상)]외국인 대상 과목,월1,일송자유교양대학,안정호,대학한국어2,기초,[전환(화상)]
355,[전환(화상)]외국인 대상 과목,월5,일송자유교양대학,유승금,한국대학생활의이해,일반교양,[전환(화상)]
356,[전환(동영상)]외국인 대상 과목,월5,일송자유교양대학,문경태,대학한국어3,기초,[전환(동영상)]
357,[전환(화상)]외국인 대상 과목,수2 금1,일송자유교양대학,김정숙,(외국인)발표와토론2,기초,[전환(화상)]
358,[전환(동영상)]외국인 대상 과목,화C 목C,일송자유교양대학,안정화,(외국인)발표와토론1,기초,[전환(동영상)]
359,[실시간 화상강의],수7,일송자유교양대학,유팔무,한국사회와21세기,일반교양,[실시간 화상강의]
360,[전환(동영상)],화D 목D,일송자유교양대학,이상덕,스포츠와인성함양,일반교양,[전환(동영상)]
361,[전환(동영상)],화B 목B,일송자유교양대학,정영희,대중문화론,일반교양,[전환(동영상)]
362,[전환(화상)],화B 목B,일송자유교양대학,조상미,사진예술,일반교양,[전환(화상)]
363,[전환(동영상)],화E 목E,일송자유교양대학,이상덕,웰빙스포츠론,일반교양,[전환(동영상)]
364,[전환(동영상)],수2,일송자유교양대학,손유경,생활한문,기초,[전환(동영상)]
365,[전환(동영상)],수5,일송자유교양대학,손유경,생활한문,기초,[전환(동영상)]
366,[동영상 콘텐츠],온라인7,일송자유교양대학,이행훈,생활한문,기초,[동영상 콘텐츠]
367,,화3,일송자유교양대학,박혜민,다이어트휘트니스,한림소양,[오프라인]
368,[전환(동영상)],금3,일송자유교양대학,이상덕,스포츠속의과학지식,일반교양,[전환(동영상)]
369,[전환(동영상)],금7,바이오메디컬학과,김대원,생체유기화학,전선,[전환(동영상)]
370,[전환(혼합)],월1,일송자유교양대학,이종완,물리학및실험2,기초,[전환(혼합)]
371,[전환(혼합)],수1,일송자유교양대학,이종완,물리학및실험2,기초,[전환(혼합)]
372,[전환(혼합)],수7,일송자유교양대학,이종완,물리학및실험2,기초,[전환(혼합)]
373,외국인 대상 과목,월3,일송자유교양대학,이재선,기초한국어,일반교양,[오프라인]
374,[전환(동영상)]외국인 대상 과목,화D 목D,일송자유교양대학,이연화,한국의문화유산,일반교양,[전환(동영상)]
375,[전환(동영상)]외국인 대상 과목,수6 금5,일송자유교양대학,전상호,한국지역학입문,일반교양,[전환(동영상)]
376,[전환(동영상)],화C 목C,일송자유교양대학,정영희,매스미디어와현대사회,일반교양,[전환(동영상)]
377,[동영상 콘텐츠],온라인3,일송자유교양대학,김경희,매스미디어와현대사회,일반교양,[동영상 콘텐츠]
378,[전환(동영상)],화C 목C,일송자유교양대학,문경태,대학한국어4,기초,[전환(동영상)]
379,[실시간 화상강의]외국인대상,수2 금1,일송자유교양대학,전상호,대학한국어4,기초,[실시간 화상강의]
380,이공자연계 직무준비 중인 4학년,월7,일송자유교양대학,이정근,취업성공전략,일반교양,[오프라인]
381,인문사회계열 직무 준비중인 4학년 대상,월7,일송자유교양대학,이정근,취업성공전략,일반교양,[오프라인]
382,[전환(동영상)],월1,일송자유교양대학,장한진,디지털게임과커뮤니케이션,일반교양,[전환(동영상)]
383,[전환(동영상)],월7,일송자유교양대학,김선홍,콘텐츠의이해와창업,일반교양,[전환(동영상)]
384,[전환(동영상)],온라인7,일송자유교양대학,박두재,내인생과기업가정신,일반교양,[전환(동영상)]
385,[전환(동영상)],월8,교직과목,김지일,교육방법및교육공학,교직,[전환(동영상)]
386,[전환(동영상)],목7,교직과목,황성희,교육행정및교육경영,교직,[전환(동영상)]
387,[전환(화상)],월7 수6,영어영문학과,육청민,교과교재연구및영어지도법,전선,[전환(화상)]
