,비고,수업시간표,대학,교수이름,시간표,이수구분,온/오프
1305,,화7,일송자유교양대학,임종국,스포츠-바이시클라이딩,한림소양,[오프라인]
1306,[전환(화상)],월3,자유교양전공,방기석,[첨단기초]ICT로디자인하는 세상,일반교양,[전환(화상)]
1307,,월3,자유교양전공,조정래,[명저]동양의미,일반교양,[오프라인]
1308,[전환(화상)],화B 목B,자유교양전공,노재옥,[명저]과학기술혁명의시대,일반교양,[전환(화상)]
1309,[전환(화상)],월3,일송자유교양대학,심보경,사고와표현,기초,[전환(화상)]
1310,[전환(화상)],월5,일송자유교양대학,심보경,사고와표현,기초,[전환(화상)]
1311,[전환(화상)],화C 목C,일송자유교양대학,도애경,사고와표현,기초,[전환(화상)]
1312,[전환(화상)],화B 목B,일송자유교양대학,도애경,사고와표현,기초,[전환(화상)]
1313,[전환(화상)],화E 목E,일송자유교양대학,김기우,사고와표현,기초,[전환(화상)]
1314,[전환(화상)],화F 목F,일송자유교양대학,김기우,사고와표현,기초,[전환(화상)]
1315,[전환(화상)],화C 목C,일송자유교양대학,김기우,사고와표현,기초,[전환(화상)]
1316,[전환(화상)],월3,일송자유교양대학,김양선,사고와표현,기초,[전환(화상)]
1317,[전환(화상)],월7,일송자유교양대학,김양선,사고와표현,기초,[전환(화상)]
1318,[전환(화상)],화E 목E,일송자유교양대학,김기우,사고와표현,기초,[전환(화상)]
1319,[전환(화상)],화F 목F,일송자유교양대학,김기우,사고와표현,기초,[전환(화상)]
1320,[전환(화상)],화C 목C,일송자유교양대학,김기우,사고와표현,기초,[전환(화상)]
1321,[전환(화상)],월5,일송자유교양대학,이수현,사고와표현,기초,[전환(화상)]
1322,[전환(화상)],월7,일송자유교양대학,이수현,사고와표현,기초,[전환(화상)]
1323,[전환(화상)],화D 목D,일송자유교양대학,이현준,사고와표현,기초,[전환(화상)]
1324,[전환(화상)],화C 목C,일송자유교양대학,이현준,사고와표현,기초,[전환(화상)]
1325,[전환(화상)],화A 목A,일송자유교양대학,박진현,사고와표현,기초,[전환(화상)]
1326,[전환(화상)],화C 목C,일송자유교양대학,박진현,사고와표현,기초,[전환(화상)]
1327,[전환(화상)],화E 목E,일송자유교양대학,채경민,사고와표현,기초,[전환(화상)]
1328,[전환(화상)],화C 목C,일송자유교양대학,채경민,사고와표현,기초,[전환(화상)]
1329,[전환(화상)],월3,일송자유교양대학,정원채,사고와표현,기초,[전환(화상)]
1330,[전환(화상)],월5,일송자유교양대학,정원채,사고와표현,기초,[전환(화상)]
1331,[전환(화상)],수6 금5,일송자유교양대학,심재욱,사고와표현,기초,[전환(화상)]
1332,[전환(화상)],수4 금3,일송자유교양대학,심재욱,사고와표현,기초,[전환(화상)]
1333,[전환(화상)],화A 목A,일송자유교양대학,이한범,사고와표현,기초,[전환(화상)]
1334,[전환(화상)],화D 목D,일송자유교양대학,이현준,사고와표현,기초,[전환(화상)]
